Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Senior_ReCreate_Profile_Type,Chrome 118.0.0.0,,,2023-10-31 17:05:49,2023-10-31 17:16:26,10m - 36.936s,PASSED
,,,,,,,
Test Cases/Senior_ReCreate_Profile_Type,Chrome 118.0.0.0,,,2023-10-31 17:05:49,2023-10-31 17:07:53,2m - 3.652s,PASSED
"openBrowser(""https://caring-connections-qa.azurewebsites.net/"")",Chrome 118.0.0.0,,,2023-10-31 17:05:50,2023-10-31 17:05:55,4.974s,PASSED
maximizeWindow(),Chrome 118.0.0.0,,,2023-10-31 17:05:55,2023-10-31 17:05:55,0.157s,PASSED
"setText(findTestObject(""Login_Page/Login_Page_Objects/Input_Username""), UserName)",Chrome 118.0.0.0,,,2023-10-31 17:05:55,2023-10-31 17:05:56,0.726s,PASSED
"selectOptionByValue(findTestObject(""Login_Page/Login_Page_Objects/Select_Role""), Role, false)",Chrome 118.0.0.0,,,2023-10-31 17:05:56,2023-10-31 17:05:56,0.681s,PASSED
"setText(findTestObject(""Login_Page/Login_Page_Objects/Input_Email""), Email)",Chrome 118.0.0.0,,,2023-10-31 17:05:56,2023-10-31 17:05:57,0.674s,PASSED
"click(findTestObject(""Login_Page/Login_Page_Objects/btn_Get Started""))",Chrome 118.0.0.0,,,2023-10-31 17:05:57,2023-10-31 17:05:57,0.402s,PASSED
"scrollToElement(findTestObject(""Object Repository/Category_View_Page/Category_View_Page_Objects/btn_Save_n_Continue""), 0)",Chrome 118.0.0.0,,,2023-10-31 17:05:57,2023-10-31 17:05:59,1.975s,PASSED
"click(findTestObject(""Object Repository/Category_View_Page/Category_View_Page_Objects/button_Re-record""))",Chrome 118.0.0.0,,,2023-10-31 17:05:59,2023-10-31 17:06:02,2.513s,PASSED
"click(findTestObject(""Object Repository/Category_View_Page/Category_View_Page_Objects/btn_Proceed_ReRecord""))",Chrome 118.0.0.0,,,2023-10-31 17:06:02,2023-10-31 17:06:02,0.497s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Profile_Creation_Page/Profile_Creation_Page_Objects/txt_p3_Expectations_From_Companion""), 0)",Chrome 118.0.0.0,,,2023-10-31 17:06:02,2023-10-31 17:06:03,0.430s,PASSED
delay(40),Chrome 118.0.0.0,,,2023-10-31 17:06:03,2023-10-31 17:06:43,40.033s,PASSED
"click(findTestObject(""Profile_Creation_Page/Profile_Creation_Page_Objects/btn_I_Want_To_Type""))",Chrome 118.0.0.0,,,2023-10-31 17:06:43,2023-10-31 17:07:14,31.600s,PASSED
delay(5),Chrome 118.0.0.0,,,2023-10-31 17:07:14,2023-10-31 17:07:19,5.017s,PASSED
"setText(findTestObject(""Profile_Creation_Page/Profile_Creation_Page_Objects/Input_I_Want_To_Type""), NewProfile)",Chrome 118.0.0.0,,,2023-10-31 17:07:19,2023-10-31 17:07:20,1.052s,PASSED
"scrollToElement(findTestObject(""Object Repository/Profile_Creation_Page/Profile_Creation_Page_Objects/btn_Next""), 0)",Chrome 118.0.0.0,,,2023-10-31 17:07:20,2023-10-31 17:07:21,0.330s,PASSED
"click(findTestObject(""Profile_Creation_Page/Profile_Creation_Page_Objects/btn_Next""))",Chrome 118.0.0.0,,,2023-10-31 17:07:21,2023-10-31 17:07:21,0.365s,PASSED
delay(12),Chrome 118.0.0.0,,,2023-10-31 17:07:21,2023-10-31 17:07:33,12.006s,PASSED
"scrollToElement(findTestObject(""Object Repository/Category_View_Page/Category_View_Page_Objects/btn_Save_n_Continue""), 0)",Chrome 118.0.0.0,,,2023-10-31 17:07:33,2023-10-31 17:07:49,15.592s,PASSED
"click(findTestObject(""Object Repository/Category_View_Page/Category_View_Page_Objects/btn_Save_n_Continue""))",Chrome 118.0.0.0,,,2023-10-31 17:07:49,2023-10-31 17:07:49,0.381s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Thankyou_Page/Thankyou_Page_Objects/txt_h1_Thank you""), 0)",Chrome 118.0.0.0,,,2023-10-31 17:07:49,2023-10-31 17:07:52,3.275s,PASSED
closeBrowser(),Chrome 118.0.0.0,,,2023-10-31 17:07:52,2023-10-31 17:07:53,0.696s,PASSED
,,,,,,,
Test Cases/Senior_ReCreate_Profile_Type,Chrome 118.0.0.0,,,2023-10-31 17:07:53,2023-10-31 17:10:08,2m - 15.070s,PASSED
"openBrowser(""https://caring-connections-qa.azurewebsites.net/"")",Chrome 118.0.0.0,,,2023-10-31 17:07:53,2023-10-31 17:07:57,3.345s,PASSED
maximizeWindow(),Chrome 118.0.0.0,,,2023-10-31 17:07:57,2023-10-31 17:07:57,0.147s,PASSED
"setText(findTestObject(""Login_Page/Login_Page_Objects/Input_Username""), UserName)",Chrome 118.0.0.0,,,2023-10-31 17:07:57,2023-10-31 17:07:57,0.781s,PASSED
"selectOptionByValue(findTestObject(""Login_Page/Login_Page_Objects/Select_Role""), Role, false)",Chrome 118.0.0.0,,,2023-10-31 17:07:57,2023-10-31 17:07:58,0.657s,PASSED
"setText(findTestObject(""Login_Page/Login_Page_Objects/Input_Email""), Email)",Chrome 118.0.0.0,,,2023-10-31 17:07:58,2023-10-31 17:07:59,0.638s,PASSED
"click(findTestObject(""Login_Page/Login_Page_Objects/btn_Get Started""))",Chrome 118.0.0.0,,,2023-10-31 17:07:59,2023-10-31 17:07:59,0.368s,PASSED
"scrollToElement(findTestObject(""Object Repository/Category_View_Page/Category_View_Page_Objects/btn_Save_n_Continue""), 0)",Chrome 118.0.0.0,,,2023-10-31 17:07:59,2023-10-31 17:08:01,1.962s,PASSED
"click(findTestObject(""Object Repository/Category_View_Page/Category_View_Page_Objects/button_Re-record""))",Chrome 118.0.0.0,,,2023-10-31 17:08:01,2023-10-31 17:08:04,2.478s,PASSED
"click(findTestObject(""Object Repository/Category_View_Page/Category_View_Page_Objects/btn_Proceed_ReRecord""))",Chrome 118.0.0.0,,,2023-10-31 17:08:04,2023-10-31 17:08:04,0.521s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Profile_Creation_Page/Profile_Creation_Page_Objects/txt_p3_Expectations_From_Companion""), 0)",Chrome 118.0.0.0,,,2023-10-31 17:08:04,2023-10-31 17:08:05,0.477s,PASSED
delay(40),Chrome 118.0.0.0,,,2023-10-31 17:08:05,2023-10-31 17:08:45,40.011s,PASSED
