Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Senior_ReCreate_Category_Type,Chrome 118.0.0.0,,,2023-10-31 18:01:09,2023-10-31 18:02:32,1m - 22.393s,PASSED
,,,,,,,
Test Cases/Senior_ReCreate_Category_Type,Chrome 118.0.0.0,,,2023-10-31 18:01:10,2023-10-31 18:01:26,16.070s,PASSED
"openBrowser(""https://caring-connections-qa.azurewebsites.net/"")",Chrome 118.0.0.0,,,2023-10-31 18:01:10,2023-10-31 18:01:14,4.068s,PASSED
maximizeWindow(),Chrome 118.0.0.0,,,2023-10-31 18:01:14,2023-10-31 18:01:14,0.149s,PASSED
"setText(findTestObject(""Login_Page/Login_Page_Objects/Input_Username""), UserName)",Chrome 118.0.0.0,,,2023-10-31 18:01:14,2023-10-31 18:01:15,0.676s,PASSED
"selectOptionByValue(findTestObject(""Login_Page/Login_Page_Objects/Select_Role""), Role, false)",Chrome 118.0.0.0,,,2023-10-31 18:01:15,2023-10-31 18:01:16,0.660s,PASSED
"setText(findTestObject(""Login_Page/Login_Page_Objects/Input_Email""), Email)",Chrome 118.0.0.0,,,2023-10-31 18:01:16,2023-10-31 18:01:16,0.642s,PASSED
"click(findTestObject(""Login_Page/Login_Page_Objects/btn_Get Started""))",Chrome 118.0.0.0,,,2023-10-31 18:01:16,2023-10-31 18:01:17,0.348s,PASSED
"setText(findTestObject(""Category_View_Page/Category_View_Page_Objects/Input_Edit_Educational_Info""), NewEducationInfo)",Chrome 118.0.0.0,,,2023-10-31 18:01:17,2023-10-31 18:01:19,2.327s,PASSED
"setText(findTestObject(""Category_View_Page/Category_View_Page_Objects/Input_Edit_Appropriate_Hobbies""), NewHobbiesInfo)",Chrome 118.0.0.0,,,2023-10-31 18:01:19,2023-10-31 18:01:20,0.696s,PASSED
"setText(findTestObject(""Category_View_Page/Category_View_Page_Objects/Input_Edit_expectation""), NewExpectationInfo)",Chrome 118.0.0.0,,,2023-10-31 18:01:20,2023-10-31 18:01:20,0.735s,PASSED
"setText(findTestObject(""Category_View_Page/Category_View_Page_Objects/Input_Edit_Appropriate_Health""), NewHealthInfo)",Chrome 118.0.0.0,,,2023-10-31 18:01:20,2023-10-31 18:01:21,0.720s,PASSED
"scrollToElement(findTestObject(""Object Repository/Category_View_Page/Category_View_Page_Objects/btn_Save_n_Continue""), 0)",Chrome 118.0.0.0,,,2023-10-31 18:01:21,2023-10-31 18:01:21,0.336s,PASSED
"click(findTestObject(""Object Repository/Category_View_Page/Category_View_Page_Objects/btn_Save_n_Continue""))",Chrome 118.0.0.0,,,2023-10-31 18:01:21,2023-10-31 18:01:22,0.349s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Thankyou_Page/Thankyou_Page_Objects/txt_h1_Thank you""), 0)",Chrome 118.0.0.0,,,2023-10-31 18:01:22,2023-10-31 18:01:25,3.385s,PASSED
