Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Companion_Sign_up_Type,Chrome 118.0.0.0,,,2023-11-01 16:55:24,2023-11-01 17:19:16,23m - 52.633s,PASSED
,,,,,,,
Test Cases/Companion_Sign_up_Type,Chrome 118.0.0.0,,,2023-11-01 17:01:54,2023-11-01 17:04:02,2m - 7.808s,PASSED
"openBrowser(""https://caring-connections-qa.azurewebsites.net/"")",Chrome 118.0.0.0,,,2023-11-01 17:01:55,2023-11-01 17:01:59,4.376s,PASSED
maximizeWindow(),Chrome 118.0.0.0,,,2023-11-01 17:01:59,2023-11-01 17:01:59,0.196s,PASSED
"setText(findTestObject(""Login_Page/Login_Page_Objects/Input_Username""), UserName)",Chrome 118.0.0.0,,,2023-11-01 17:01:59,2023-11-01 17:02:00,0.853s,PASSED
"selectOptionByValue(findTestObject(""Login_Page/Login_Page_Objects/Select_Role""), Role, false)",Chrome 118.0.0.0,,,2023-11-01 17:02:00,2023-11-01 17:02:01,0.690s,PASSED
"setText(findTestObject(""Login_Page/Login_Page_Objects/Input_Email""), Email)",Chrome 118.0.0.0,,,2023-11-01 17:02:01,2023-11-01 17:02:01,0.713s,PASSED
"click(findTestObject(""Login_Page/Login_Page_Objects/btn_Get Started""))",Chrome 118.0.0.0,,,2023-11-01 17:02:01,2023-11-01 17:02:02,0.389s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Profile_Creation_Page/Profile_Creation_Page_Objects/txt_p3_Expectations_From_Senior""), 0)",Chrome 118.0.0.0,,,2023-11-01 17:02:02,2023-11-01 17:02:04,1.836s,PASSED
delay(40),Chrome 118.0.0.0,,,2023-11-01 17:02:04,2023-11-01 17:02:44,40.008s,PASSED
"click(findTestObject(""Profile_Creation_Page/Profile_Creation_Page_Objects/btn_I_Want_To_Type""))",Chrome 118.0.0.0,,,2023-11-01 17:02:44,2023-11-01 17:03:15,31.644s,PASSED
delay(5),Chrome 118.0.0.0,,,2023-11-01 17:03:15,2023-11-01 17:03:20,5.010s,PASSED
"setText(findTestObject(""Profile_Creation_Page/Profile_Creation_Page_Objects/Input_I_Want_To_Type""), Profile)",Chrome 118.0.0.0,,,2023-11-01 17:03:20,2023-11-01 17:03:22,1.280s,PASSED
"scrollToElement(findTestObject(""Object Repository/Profile_Creation_Page/Profile_Creation_Page_Objects/btn_Next""), 0)",Chrome 118.0.0.0,,,2023-11-01 17:03:22,2023-11-01 17:03:22,0.524s,PASSED
"click(findTestObject(""Profile_Creation_Page/Profile_Creation_Page_Objects/btn_Next""))",Chrome 118.0.0.0,,,2023-11-01 17:03:22,2023-11-01 17:03:23,0.516s,PASSED
delay(12),Chrome 118.0.0.0,,,2023-11-01 17:03:23,2023-11-01 17:03:35,12.009s,PASSED
"scrollToElement(findTestObject(""Object Repository/Category_View_Page/Category_View_Page_Objects/btn_Save_n_Continue""), 0)",Chrome 118.0.0.0,,,2023-11-01 17:03:35,2023-11-01 17:03:57,22.598s,PASSED
"click(findTestObject(""Object Repository/Category_View_Page/Category_View_Page_Objects/btn_Save_n_Continue""))",Chrome 118.0.0.0,,,2023-11-01 17:03:57,2023-11-01 17:03:58,0.455s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Thankyou_Page/Thankyou_Page_Objects/txt_h1_Thank you""), 0)",Chrome 118.0.0.0,,,2023-11-01 17:03:58,2023-11-01 17:04:01,3.726s,PASSED
closeBrowser(),Chrome 118.0.0.0,,,2023-11-01 17:04:01,2023-11-01 17:04:02,0.862s,PASSED
,,,,,,,
Test Cases/Companion_Sign_up_Type,Chrome 118.0.0.0,,,2023-11-01 17:04:02,2023-11-01 17:06:12,2m - 9.413s,PASSED
"openBrowser(""https://caring-connections-qa.azurewebsites.net/"")",Chrome 118.0.0.0,,,2023-11-01 17:04:02,2023-11-01 17:04:06,3.649s,PASSED
maximizeWindow(),Chrome 118.0.0.0,,,2023-11-01 17:04:06,2023-11-01 17:04:06,0.147s,PASSED
"setText(findTestObject(""Login_Page/Login_Page_Objects/Input_Username""), UserName)",Chrome 118.0.0.0,,,2023-11-01 17:04:06,2023-11-01 17:04:07,0.809s,PASSED
"selectOptionByValue(findTestObject(""Login_Page/Login_Page_Objects/Select_Role""), Role, false)",Chrome 118.0.0.0,,,2023-11-01 17:04:07,2023-11-01 17:04:08,0.922s,PASSED
"setText(findTestObject(""Login_Page/Login_Page_Objects/Input_Email""), Email)",Chrome 118.0.0.0,,,2023-11-01 17:04:08,2023-11-01 17:04:09,0.956s,PASSED
"click(findTestObject(""Login_Page/Login_Page_Objects/btn_Get Started""))",Chrome 118.0.0.0,,,2023-11-01 17:04:09,2023-11-01 17:04:09,0.453s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Profile_Creation_Page/Profile_Creation_Page_Objects/txt_p3_Expectations_From_Senior""), 0)",Chrome 118.0.0.0,,,2023-11-01 17:04:09,2023-11-01 17:04:11,2.227s,PASSED
delay(40),Chrome 118.0.0.0,,,2023-11-01 17:04:11,2023-11-01 17:04:52,40.014s,PASSED
"click(findTestObject(""Profile_Creation_Page/Profile_Creation_Page_Objects/btn_I_Want_To_Type""))",Chrome 118.0.0.0,,,2023-11-01 17:04:52,2023-11-01 17:05:23,31.529s,PASSED
